antiaircraft gun
antitank weapon
big bertha
cannon
french 75
vulcan automatic cannon
coastal artillery
german 88
maxim machine gun
mortar
panzerfaust
panzerschreck
paris gun
schwarzlose machine gun
anthrax
plague
q fever
ricin
smallpox
yellow rain
adamsite
diphosgene
hydrogen cyanide
lewisite
nerve gas
phosgene
tear gas
chloropicrin
anged weapons
bola
boomerang
bow and arrow
crossbow
longbow
grapeshot
flamethrower
greek fire
sling
spear
spear-thrower
bayonet
club
dagger
halberd
lance
pike
quarterstaff
sabre
sword
tomahawk
bombs
depth charge
dirty bomb
grenade
improvised explosive device
mine
shrapnel
explosive substances
petn
rdx
trinitrotoluene (tnt)
tnt
trinitrotoluene
missiles
ballistic missiles
antiballistic missile
icbm
lance missile
peacekeeper missile
minuteman missile
nike missile
polaris missile
poseidon missile
torpedo
trident missile
v-2 missile
cruise missiles
tomahawk
v-1 missile
rockets
bazooka
congreve rocket
firearms
manual
air gun
blowgun
blunderbuss
carbine
spencer carbine
gatling gun
handgun
pistol
revolver
derringer
harquebus
musket
rifle
dreyse rifle
lee-enfield rifle
mauser rifle
springfield rifle
shotgun
semiautomatic
handgun
pistol
semiautomatic pistol
luger pistol
revolver
rifle
assault rifle
ak-47
armalite rifle
m16 rifle
garand rifle
repeating rifle
springfield rifle
automatic
handgun
machine gun
bren machine gun
browning automatic rifle
hotchkiss machine gun
mg42
mag machine gun
maxim machine gun
schwarzlose machine gun
rifle
assault rifle
ak-47
m16 rifle
browning automatic rifle
submachine gun
sten gun
thompson submachine gun
uzi submachine gun
nuclear weapons
intermediate-range nuclear weapons
tactical nuclear weapon
thermonuclear bomb
atomic bomb
neutron bomb
weapon of mass destruction
siege weapons
battering ram
big bertha
cannon
french 75
catapult
onager
culverin
german 88
ram
vulcan automatic cannon
a-bomb
ammo
ammunition
armaments
arrow
assault rifle
atom bomb
atomic bomb
autocannon
automatic rifle
axe
ballista
ballistic missile
bat
baton
battle axe
bayonet
bazooka
billy club
biological weapon
blackjack
blade
blaster
blowgun
blowpipe
bludgeon
bomb
boobytrap
boomerang
bow and arrow
bowie knife
brass knuckles
bullet
bullwhip
cannon
carbine
catapault
cat o'nine tails
cleaver
club
crossbow
cudgel
cutlass
dagger
dart
depth charge
epee
explosives
firearm
flail
flamethrower
flintlock
foil
gatling gun
grenade
grenade launcher
guided missile
gun
gunpowder
halberd
hand grenade
handgun
harpoon
hatchet
howitzer
hunting knife
javelin
katena
knife
knout
kris
lance
landmine
longbow
longsword
mace
machete
machine gun
magnum
maul
mine
missile
morning star
mortar
munitions
musket
mustard gas
muzzleloader
nerve gas
night stick
nuclear bomb
nunchaku (numchucks)
onager
ordnance
peashooter
pepper spray
pickaxe
pike
pistol
pommel
quarterstaff
rapier
revolver
rifle
rocket
rocket launcher
saber
scimitar
scythe
semiautomatic
shell
shillelagh
shooter
shotgun
sickle
slingshot
spear
spiked mace
stiletto
stun gun
submachine gun
switchblade
sword
tank
tank gun
taser
tear gas
tomahawk
torpedo
trebuchet
trident
tripwire
truncheon
uzi
weapon of mass destruction
weaponry
whip
chainsaw
adamantite drill
adamantite glaive
adamantite pickaxe
adamantite repeater
adamantite sword
adamantite waraxe
aerial bane
ale tosser
amarok
amazon
amber staff
amethyst staff
anchor
aqua scepter
arkhalis
artery
ballista cane
ballista rod
ballista staff
ball o' hurt
bananarang
bat scepter
beam sword
bee gun
bee keeper
beenade
betsy's wrath
bladed glove
blade of grass
bladetongue
blizzard staff
blood butcherer
blood lust cluster
blood water
bloody machete
blowgun
blowpipe
blue moon
bomb
bomb fish
bone
bone glove
bone javelin
bone pickaxe
bone sword
bone throwing knife
book of skulls
boomstick
boreal wood bow
boreal wood hammer
boreal wood sword
bouncy bomb
bouncy dynamite
bouncy grenade
brand of the inferno
breaker blade
bubble gun
butcher's chainsaw
cactus pickaxe
cactus sword
candy cane pickaxe
candy cane sword
candy corn rifle
cascade
celebration
chain guillotines
chain gun
chain knife
